,date_pt,hour_pt,time_pt,var,value,site,vartype
60,2013-04-21,12,2013-04-21 12:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
61,2013-04-21,13,2013-04-21 13:00:00,GPM,0.0,stream,Flow (GPM)
62,2013-04-21,14,2013-04-21 14:00:00,GPM,0.0,stream,Flow (GPM)
63,2013-04-21,15,2013-04-21 15:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
64,2013-04-21,16,2013-04-21 16:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
65,2013-04-21,17,2013-04-20 17:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
66,2013-04-21,18,2013-04-20 18:00:00,GPM,0.5,stream,Flow (GPM)
67,2013-04-21,19,2013-04-20 19:00:00,GPM,0.5,stream,Flow (GPM)
68,2013-04-21,20,2013-04-20 20:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
69,2013-04-21,21,2013-04-20 21:00:00,GPM,0.0,stream,Flow (GPM)
70,2013-04-21,22,2013-04-20 22:00:00,GPM,0.0,stream,Flow (GPM)
71,2013-04-21,23,2013-04-20 23:00:00,GPM,0.0,stream,Flow (GPM)
72,2013-04-22,0,2013-04-22 00:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
73,2013-04-22,1,2013-04-22 01:00:00,GPM,0.0,stream,Flow (GPM)
74,2013-04-22,2,2013-04-22 02:00:00,GPM,0.0,stream,Flow (GPM)
75,2013-04-22,3,2013-04-22 03:00:00,GPM,0.0,stream,Flow (GPM)
76,2013-04-22,4,2013-04-22 04:00:00,GPM,0.0,stream,Flow (GPM)
77,2013-04-22,5,2013-04-22 05:00:00,GPM,0.0,stream,Flow (GPM)
78,2013-04-22,6,2013-04-22 06:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
79,2013-04-22,7,2013-04-22 07:00:00,GPM,1.1666666666666667,stream,Flow (GPM)
80,2013-04-22,8,2013-04-22 08:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
81,2013-04-22,9,2013-04-22 09:00:00,GPM,0.0,stream,Flow (GPM)
82,2013-04-22,10,2013-04-22 10:00:00,GPM,0.0,stream,Flow (GPM)
83,2013-04-22,11,2013-04-22 11:00:00,GPM,0.0,stream,Flow (GPM)
84,2013-04-22,12,2013-04-22 12:00:00,GPM,0.5,stream,Flow (GPM)
85,2013-04-22,13,2013-04-22 13:00:00,GPM,0.0,stream,Flow (GPM)
86,2013-04-22,14,2013-04-22 14:00:00,GPM,0.0,stream,Flow (GPM)
87,2013-04-22,15,2013-04-22 15:00:00,GPM,0.0,stream,Flow (GPM)
88,2013-04-22,16,2013-04-22 16:00:00,GPM,0.0,stream,Flow (GPM)
89,2013-04-22,17,2013-04-21 17:00:00,GPM,0.0,stream,Flow (GPM)
90,2013-04-22,18,2013-04-21 18:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
91,2013-04-22,19,2013-04-21 19:00:00,GPM,0.0,stream,Flow (GPM)
92,2013-04-22,20,2013-04-21 20:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
