,dates,hour_pt,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2014-01-02,276,1200.0,24,440.00000000000006,7,0.3666666666666667,stream
1,2014-01-03,276,1289.9999999999998,24,480.0,7,0.372093023255814,stream
2,2014-01-07,276,2380.0,24,910.0000000000001,20,0.3823529411764706,stream
3,2014-01-08,276,2770.0,24,880.0,7,0.3176895306859206,stream
4,2014-01-09,276,2810.0,24,970.0000000000001,7,0.34519572953736655,stream
5,2014-01-10,276,2770.0,24,920.0,7,0.332129963898917,stream
6,2014-01-11,276,2650.0,24,940.0,10,0.3547169811320755,stream
7,2014-01-14,276,2570.0,24,870.0,7,0.3385214007782101,stream
8,2014-01-15,276,2540.0,24,889.9999999999999,7,0.3503937007874015,stream
9,2014-01-16,276,2560.0000000000005,24,880.0000000000001,7,0.34375,stream
10,2014-01-17,276,2470.0000000000005,24,959.9999999999999,8,0.3886639676113359,stream
11,2014-01-18,276,3240.0,24,860.0,18,0.2654320987654321,stream
12,2014-01-23,276,2420.0,24,910.0,8,0.37603305785123964,stream
13,2014-01-24,276,2680.0000000000005,24,940.0,8,0.3507462686567164,stream
14,2014-01-25,276,2550.0,24,950.0000000000001,10,0.3725490196078432,stream
15,2014-01-28,276,2450.0,24,979.9999999999999,7,0.39999999999999997,stream
16,2014-01-29,276,2410.0000000000005,24,889.9999999999999,7,0.36929460580912854,stream
17,2014-01-30,276,2790.0,24,1050.0,7,0.3763440860215054,stream
18,2014-01-31,276,2320.0000000000005,24,880.0000000000001,8,0.3793103448275862,stream
19,2014-02-01,276,3050.0,24,930.0000000000001,13,0.3049180327868853,stream
20,2014-02-04,276,2970.0,24,1090.0,7,0.36700336700336705,stream
21,2014-02-05,276,2700.0,24,1179.9999999999998,7,0.437037037037037,stream
22,2014-02-06,276,2820.0,24,1090.0,7,0.38652482269503546,stream
23,2014-02-07,276,2560.0,24,1040.0,7,0.40625,stream
24,2014-02-08,276,2959.999999999999,24,1040.0000000000002,11,0.3513513513513515,stream
25,2014-02-11,276,2610.0,24,900.0,20,0.3448275862068966,stream
26,2014-02-12,276,2499.9999999999995,24,1020.0,7,0.4080000000000001,stream
27,2014-02-13,276,2539.9999999999995,24,1000.0000000000001,7,0.3937007874015749,stream
28,2014-02-14,276,2690.0,24,890.0,7,0.3308550185873606,stream
29,2014-02-15,276,2610.0,24,990.0,11,0.3793103448275862,stream
30,2014-02-22,276,2920.0000000000005,24,880.0000000000001,16,0.3013698630136986,stream
31,2014-02-25,276,2770.0000000000005,24,1090.0,7,0.3935018050541516,stream
32,2014-02-26,276,2640.0000000000005,24,1100.0,7,0.4166666666666666,stream
33,2014-02-27,276,2539.9999999999995,24,990.0,7,0.3897637795275591,stream
34,2014-02-28,276,2159.9999999999995,24,930.0000000000001,7,0.4305555555555557,stream
35,2014-03-01,276,2530.0000000000005,24,1050.0,10,0.41501976284584974,stream
36,2014-03-04,276,2460.0000000000005,24,1000.0000000000001,7,0.40650406504065034,stream
37,2014-03-05,276,2640.0,24,940.0000000000001,7,0.3560606060606061,stream
38,2014-03-06,276,2410.0,24,940.0,7,0.3900414937759336,stream
