,dates,hour_pt,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2015-01-02,276,1539.9999999999998,24,77.50000000000006,8,0.05032467532467537,sunset
1,2015-01-03,276,1750.0,24,315.00000000000006,10,0.18000000000000002,sunset
2,2015-01-06,276,1980.0000000000005,24,334.99999999999994,6,0.16919191919191912,sunset
3,2015-01-07,276,2490.0,24,666.25,7,0.267570281124498,sunset
4,2015-01-08,276,1520.0000000000002,24,340.0,6,0.2236842105263158,sunset
5,2015-01-09,276,1660.0,24,328.75000000000006,7,0.19804216867469884,sunset
6,2015-01-10,276,2130.0,24,288.12500000000006,10,0.13526995305164322,sunset
7,2015-01-13,276,1750.0,24,402.5,6,0.22999999999999998,sunset
8,2015-01-14,276,1819.9999999999998,24,335.0000000000001,6,0.18406593406593416,sunset
9,2015-01-15,276,1570.0,24,397.5,6,0.2531847133757962,sunset
10,2015-01-16,276,1410.0,24,307.50000000000006,6,0.21808510638297876,sunset
11,2015-01-17,276,1759.9999999999998,24,220.00000000000026,9,0.12500000000000017,sunset
12,2015-01-20,276,1460.0000000000005,24,414.9999999999999,6,0.2842465753424656,sunset
13,2015-01-21,276,1900.0,24,253.75000000000003,6,0.13355263157894737,sunset
14,2015-01-22,276,1699.9999999999995,24,435.0000000000001,6,0.2558823529411766,sunset
15,2015-01-23,276,1590.0000000000002,24,352.50000000000006,6,0.22169811320754718,sunset
16,2015-01-24,276,1910.0000000000002,24,135.625,10,0.07100785340314135,sunset
17,2015-01-27,276,1869.9999999999998,24,339.37500000000006,6,0.18148395721925137,sunset
18,2015-01-28,276,1830.0,24,372.50000000000006,6,0.20355191256830604,sunset
19,2015-01-29,276,1850.0000000000002,24,353.12499999999994,7,0.19087837837837834,sunset
20,2015-01-30,276,1689.9999999999998,24,363.1250000000001,7,0.21486686390532553,sunset
21,2015-01-31,276,2170.0000000000005,24,179.3749999999999,10,0.08266129032258057,sunset
22,2015-02-03,276,1660.0,24,305.00000000000006,6,0.18373493975903615,sunset
23,2015-02-04,276,1750.0,24,331.875,6,0.18964285714285714,sunset
24,2015-02-05,276,1680.0,24,340.00000000000006,7,0.2023809523809524,sunset
