,variable,Date,Hour,value,units,site,dates,WeekDay,WeekPart,time stamp
60,Total.Flow,8/13/2016,6,0.012466667,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 6:00
61,Total.Flow,8/13/2016,7,0.374,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 7:00
62,Total.Flow,8/13/2016,8,0.461266667,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 8:00
63,Total.Flow,8/13/2016,9,0.398933333,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 9:00
64,Total.Flow,8/13/2016,10,0.174533333,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 10:00
65,Total.Flow,8/13/2016,11,0.062333333,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 11:00
66,Total.Flow,8/13/2016,12,0.436333333,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 12:00
67,Total.Flow,8/13/2016,13,0.2244,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 13:00
68,Total.Flow,8/13/2016,14,0.087266667,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 14:00
69,Total.Flow,8/13/2016,15,0.0748,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 15:00
70,Total.Flow,8/13/2016,16,0.0748,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 16:00
71,Total.Flow,8/13/2016,17,0.062333333,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 17:00
72,Total.Flow,8/13/2016,18,0.0374,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 18:00
73,Total.Flow,8/13/2016,19,0.162066667,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 19:00
74,Total.Flow,8/13/2016,20,0.0748,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 20:00
75,Total.Flow,8/13/2016,21,0.236866667,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 21:00
76,Total.Flow,8/13/2016,22,0.3366,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 22:00
77,Total.Flow,8/13/2016,23,0.0374,GPM,BuildingB,8/13/2016,7,Weekend,8/13/2016 23:00
78,Total.Flow,8/14/2016,0,0.012466667,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 0:00
79,Total.Flow,8/14/2016,1,0.099733333,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 1:00
80,Total.Flow,8/14/2016,2,0,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 2:00
81,Total.Flow,8/14/2016,3,0,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 3:00
82,Total.Flow,8/14/2016,4,0,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 4:00
83,Total.Flow,8/14/2016,5,0,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 5:00
84,Total.Flow,8/14/2016,6,0,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 6:00
85,Total.Flow,8/14/2016,7,0.461266667,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 7:00
86,Total.Flow,8/14/2016,8,0.124666667,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 8:00
87,Total.Flow,8/14/2016,9,0.6358,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 9:00
88,Total.Flow,8/14/2016,10,0.2244,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 10:00
89,Total.Flow,8/14/2016,11,0.910066667,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 11:00
90,Total.Flow,8/14/2016,12,0.311666667,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 12:00
91,Total.Flow,8/14/2016,13,0.349066667,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 13:00
92,Total.Flow,8/14/2016,14,0.2244,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 14:00
93,Total.Flow,8/14/2016,15,0.137133333,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 15:00
94,Total.Flow,8/14/2016,16,0.1122,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 16:00
95,Total.Flow,8/14/2016,17,0.049866667,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 17:00
96,Total.Flow,8/14/2016,18,0.997333333,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 18:00
97,Total.Flow,8/14/2016,19,0.311666667,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 19:00
98,Total.Flow,8/14/2016,20,0.099733333,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 20:00
99,Total.Flow,8/14/2016,21,0.1122,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 21:00
100,Total.Flow,8/14/2016,22,0,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 22:00
101,Total.Flow,8/14/2016,23,0.062333333,GPM,BuildingB,8/14/2016,1,Weekday,8/14/2016 23:00
102,Total.Flow,8/15/2016,0,0.049866667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 0:00
103,Total.Flow,8/15/2016,1,0.012466667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 1:00
104,Total.Flow,8/15/2016,2,0,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 2:00
105,Total.Flow,8/15/2016,3,0,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 3:00
106,Total.Flow,8/15/2016,4,0,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 4:00
107,Total.Flow,8/15/2016,5,0.174533333,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 5:00
108,Total.Flow,8/15/2016,6,0.548533333,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 6:00
109,Total.Flow,8/15/2016,7,1.0846,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 7:00
110,Total.Flow,8/15/2016,8,0.461266667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 8:00
111,Total.Flow,8/15/2016,9,0.236866667,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 9:00
112,Total.Flow,8/15/2016,10,0.374,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 10:00
113,Total.Flow,8/15/2016,11,0.211933333,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 11:00
114,Total.Flow,8/15/2016,12,0.099733333,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 12:00
115,Total.Flow,8/15/2016,13,0.137133333,GPM,BuildingB,8/15/2016,2,Weekday,8/15/2016 13:00
