,dates,value,Hour,WeekDay,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-03-20,1306.094632768362,276,96,24,397.93599999999964,9,0.3173710819009096,ejames
1,2019-03-21,1230.3041666666672,276,120,24,318.648,8,0.2697910069664344,ejames
2,2019-03-22,1417.304166666667,276,144,24,362.0320000000002,11,0.2660802638812535,ejames
3,2019-03-23,1189.7874999999995,276,168,24,314.1599999999994,11,0.27504911591355563,ejames
4,2019-03-26,1305.8833333333325,276,72,24,385.2199999999998,11,0.30727923627684967,ejames
5,2019-03-27,1208.4874999999997,276,96,24,242.352,15,0.20889748549323023,ejames
6,2019-03-28,1400.9416666666664,276,120,24,356.7959999999995,10,0.2652947719688539,ejames
7,2019-03-29,1660.4041666666662,276,144,24,338.8440000000004,18,0.21257625527921192,ejames
8,2019-03-30,1585.6041666666663,276,168,24,379.9840000000002,14,0.24963144963144981,ejames
9,2019-04-02,1248.225,276,72,24,257.3120000000004,13,0.21473158551810267,ejames
10,2019-04-03,1199.9166666666663,276,96,24,394.94399999999996,10,0.34285714285714297,ejames
11,2019-04-04,1256.016666666667,276,120,24,326.8760000000004,10,0.27109181141439226,ejames
12,2019-04-05,1475.741666666666,276,144,24,357.5440000000002,9,0.2523759239704332,ejames
13,2019-04-06,1383.0208333333328,276,168,24,351.55999999999983,12,0.2647887323943661,ejames
14,2019-04-09,2195.679166666667,276,72,24,471.98800000000017,13,0.2239189468710328,ejames
15,2019-04-10,1104.845833333333,276,96,24,289.476,10,0.27292269283421905,ejames
16,2019-04-11,1314.4541666666664,276,120,24,281.99599999999975,19,0.22347362181387062,ejames
17,2019-04-12,1193.6833333333338,276,144,24,304.4359999999998,9,0.26566579634464726,ejames
18,2019-04-13,1313.6750000000006,276,168,24,276.01200000000057,11,0.2188612099644132,ejames
19,2019-04-16,1206.9427083333333,276,72,24,251.32800000000003,13,0.21691170441844712,ejames
20,2019-04-17,1210.0468749999998,276,96,24,332.112,10,0.28589801531448944,ejames
21,2019-04-18,1249.7968750000007,276,120,24,295.4600000000002,8,0.24625668337771556,ejames
22,2019-04-19,1295.7541666666668,276,144,24,289.476,11,0.23271196632591698,ejames
23,2019-04-20,1102.5208333333333,276,168,24,307.428,14,0.29045936395759714,ejames
24,2019-04-23,1251.3416666666667,276,72,24,291.72,13,0.2428393524283935,ejames
25,2019-04-24,1152.3874999999996,276,96,24,222.156,12,0.2008113590263693,ejames
26,2019-04-25,1246.6666666666677,276,120,24,341.0880000000006,9,0.2850000000000003,ejames
27,2019-04-26,1369.7750000000012,276,144,24,313.4119999999998,9,0.2383390216154718,ejames
28,2019-04-27,1234.2010416666665,276,168,24,298.452,10,0.251893726795253,ejames
29,2019-04-30,1488.2083333333337,276,72,24,370.26,9,0.2591623036649214,ejames
30,2019-05-01,1432.8875,276,96,24,311.16800000000035,12,0.22620989668298017,ejames
31,2019-05-02,1206.1645833333328,276,120,24,237.11599999999981,17,0.20477788582611198,ejames
32,2019-05-03,1310.5583333333338,276,144,24,313.4120000000004,8,0.24910820451843066,ejames
33,2019-05-04,1284.8458333333333,276,168,24,315.65599999999984,9,0.2559126743480896,ejames
34,2019-05-07,1245.1083333333331,276,72,24,360.5360000000004,9,0.30162703379224065,ejames
35,2019-05-08,1277.8468750000013,276,96,24,243.1130000000004,19,0.19817922889495934,ejames
36,2019-05-09,1207.708333333333,276,120,24,328.3720000000002,9,0.2832258064516131,ejames
37,2019-05-10,1283.2875,276,144,24,311.91600000000005,9,0.2531876138433516,ejames
38,2019-05-11,1268.4833333333333,276,168,24,262.548,14,0.21560196560196562,ejames
39,2019-05-14,1136.025000000001,276,72,24,255.06800000000044,11,0.23388203017832668,ejames
40,2019-05-15,1294.1958333333343,276,96,24,277.5080000000004,9,0.22335942203491885,ejames
41,2019-05-16,1125.117708333333,276,120,24,246.09199999999984,9,0.22783912423977848,ejames
42,2019-05-17,1298.870833333334,276,144,24,384.4720000000002,10,0.30833833233353325,ejames
43,2019-05-18,966.9354166666664,276,168,24,210.188,12,0.2264327374501486,ejames
44,2019-05-21,1135.245833333333,276,72,24,223.652,15,0.20521619766643798,ejames
45,2019-05-22,1176.5416666666665,276,96,24,311.916,10,0.27615894039735106,ejames
46,2019-05-23,1144.5958333333333,276,120,24,267.03599999999943,10,0.24302246426140184,ejames
47,2019-05-24,1058.1083333333331,276,144,24,231.87999999999977,10,0.22827687776141364,ejames
48,2019-05-25,1026.9416666666666,276,168,24,205.7000000000004,13,0.2086494688922614,ejames
49,2019-05-28,1189.0083333333337,276,72,24,246.09199999999993,17,0.21559633027522926,ejames
