,dates,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2018-11-01,4788.856,24,1121.213,21,0.23412961258388226,yesler
1,2018-11-02,4057.3569999999995,24,1190.5500000000002,8,0.2934299348073143,yesler
2,2018-11-03,4760.493746931619,24,1330.2240000000002,11,0.27942983873414334,yesler
3,2018-11-06,4709.124999999999,24,1240.6509999999998,7,0.26345679929923294,yesler
4,2018-11-07,4529.283,24,1320.359,7,0.2915161185556301,yesler
5,2018-11-08,4412.553784921099,24,1419.882,7,0.321782366676668,yesler
6,2018-11-09,4637.456631578948,24,1366.4470000000001,7,0.2946543997188295,yesler
7,2018-11-10,5151.596947368421,24,1259.697,10,0.2445255350660708,yesler
8,2018-11-13,5243.359315789473,24,1159.563,7,0.2211488723475761,yesler
9,2018-11-14,4738.433263157894,24,1220.537,20,0.2575823974328979,yesler
10,2018-11-15,4929.670000000001,24,1200.04,7,0.24343211614570545,yesler
11,2018-11-16,3976.927000000001,24,1189.1439999999998,7,0.29901076886752,yesler
12,2018-11-17,4791.411789473684,24,1039.543,11,0.21695964481361962,yesler
13,2018-11-20,4494.155789473684,24,1180.5520000000001,7,0.262686042785859,yesler
14,2018-11-21,4755.3245789473685,24,1166.5800000000002,7,0.24532079369821533,yesler
15,2018-11-23,4056.5970000000007,24,927.3729999999999,11,0.22860860963018997,yesler
16,2018-11-24,4519.141263157895,24,1009.712,11,0.22343005920873368,yesler
17,2018-11-27,4888.569210526316,24,1290.0600000000002,21,0.2638931647366631,yesler
18,2018-11-28,4720.096,24,1169.389,7,0.24774686786031475,yesler
19,2018-11-29,4866.544,24,1200.04,8,0.24658977705739435,yesler
20,2018-11-30,4800.402842105263,24,1260.114,7,0.26250171942806466,yesler
21,2018-12-01,4962.20659672706,24,1069.21,12,0.21547067401531056,yesler
22,2018-12-04,5515.389,24,1309.394,20,0.23740737054086303,yesler
23,2018-12-05,5353.986000000001,24,1409.306,7,0.26322556689539345,yesler
24,2018-12-06,5173.8369999999995,24,1309.538,7,0.2531077032384283,yesler
25,2018-12-07,5162.997999999999,24,1251.259,8,0.24235124631076754,yesler
26,2018-12-08,5025.9563684210525,24,1154.6834736842104,11,0.22974403059670098,yesler
