,dates,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-10-22,8359.648000000001,24,629.4419999999999,19,0.07529527559055116,block11
1,2019-10-23,8314.768,24,775.4890000000001,7,0.09326646275638721,block11
2,2019-10-24,8732.152,24,813.9175,7,0.09320926845982526,block11
3,2019-10-25,8100.092,24,978.05675,7,0.12074637547326623,block11
4,2019-10-26,9078.476,24,373.3922499999998,9,0.04112939770948337,block11
5,2019-10-29,8702.232,24,749.2155,7,0.08609463641052087,block11
6,2019-10-30,8989.464,24,681.1475000000002,7,0.0757717590281245,block11
7,2019-10-31,9117.372,24,753.6567499999999,7,0.08266162113380916,block11
8,2019-11-01,8841.36,24,670.7690000000001,7,0.07586717428087988,block11
9,2019-11-02,9163.748,24,636.7350000000002,9,0.06948412374500045,block11
10,2019-11-05,9414.328000000001,24,668.8054999999996,7,0.0710412362942952,block11
11,2019-11-06,9897.536,24,838.508,7,0.08471886336154777,block11
12,2019-11-07,8518.224000000002,24,925.0889999999997,7,0.10860115911485768,block11
13,2019-11-08,8670.815999999999,24,1108.9100000000003,7,0.12788992408557628,block11
14,2019-11-09,9257.247999999998,24,666.0940000000005,9,0.07195378151260512,block11
15,2019-11-12,8916.908000000001,24,689.5157499999999,7,0.07732677627715794,block11
16,2019-11-13,9201.896,24,662.915,7,0.07204113152332954,block11
17,2019-11-14,8973.756000000001,24,647.4407499999996,7,0.07214824539468194,block11
18,2019-11-15,8701.484000000002,24,1182.4477499999996,7,0.1358903550244992,block11
19,2019-11-16,8889.98,24,575.9132499999998,9,0.06478228859907445,block11
20,2019-11-19,9337.284000000003,24,877.1234999999997,7,0.09393775534727222,block11
21,2019-11-20,9224.336000000001,24,934.9999999999999,6,0.10136230943885823,block11
22,2019-11-21,9094.183999999997,24,961.4605000000004,7,0.10572256950156282,block11
23,2019-11-22,9087.452,24,1011.3427500000004,7,0.11129002387027745,block11
24,2019-11-23,9299.136,24,520.608,9,0.05598455598455597,block11
25,2019-11-26,8539.168,24,777.5459999999998,7,0.09105641205325857,block11
26,2019-11-27,8076.904,24,705.6444999999998,7,0.08736571587330984,block11
27,2019-11-29,6864.395999999999,24,111.7792500000001,11,0.01628391631252045,block11
28,2019-11-30,7920.572000000002,24,432.01674999999955,10,0.054543630182264546,block11
29,2019-12-03,9492.868,24,763.28725,7,0.08040639035536994,block11
30,2019-12-04,9237.800000000001,24,815.6004999999999,7,0.08828947368421051,block11
31,2019-12-05,9673.884,24,599.94275,7,0.062016740122168096,block11
32,2019-12-06,8872.776,24,1020.9265,7,0.11506280559770696,block11
33,2019-12-07,9356.732,24,585.0294999999998,10,0.06252498201295065,block11
34,2019-12-10,9193.667999999998,24,788.7192500000006,7,0.08578939874705076,block11
