,dates,value,Hour,WeekDay,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-03-20,1306.094632768362,276,96,24,514.6239999999998,10,0.41043478260869537,ejames
1,2019-03-21,1230.3041666666672,276,120,24,449.54800000000023,9,0.3806206459784674,ejames
2,2019-03-22,1417.304166666667,276,144,24,510.13600000000025,10,0.37493128092358446,ejames
3,2019-03-23,1189.7874999999995,276,168,24,468.9959999999994,12,0.410609037328094,ejames
4,2019-03-26,1305.8833333333325,276,72,24,563.9919999999996,12,0.4498806682577565,ejames
5,2019-03-27,1208.4874999999997,276,96,24,410.65200000000016,16,0.35396518375241803,ejames
6,2019-03-28,1400.9416666666664,276,120,24,519.8599999999992,11,0.3865406006674077,ejames
7,2019-03-29,1660.4041666666662,276,144,24,471.98800000000017,17,0.29610511496949804,ejames
8,2019-03-30,1585.6041666666663,276,168,24,569.9760000000001,13,0.37444717444717457,ejames
9,2019-04-02,1248.225,276,72,24,396.4400000000002,12,0.33083645443196025,ejames
10,2019-04-03,1199.9166666666663,276,96,24,543.7959999999998,10,0.47207792207792204,ejames
11,2019-04-04,1256.016666666667,276,120,24,448.8000000000002,12,0.37220843672456577,ejames
12,2019-04-05,1475.741666666666,276,144,24,566.9839999999998,10,0.40021119324181625,ejames
13,2019-04-06,1383.0208333333328,276,168,24,519.1119999999996,11,0.3909859154929575,ejames
14,2019-04-09,2195.679166666667,276,72,24,618.596,13,0.2934722172144914,ejames
15,2019-04-10,1104.845833333333,276,96,24,428.6039999999998,10,0.404094839777797,ejames
16,2019-04-11,1314.4541666666664,276,120,24,404.6679999999996,19,0.3206876111440424,ejames
17,2019-04-12,1193.6833333333338,276,144,24,437.57999999999987,9,0.38185378590078306,ejames
18,2019-04-13,1313.6750000000006,276,168,24,452.54000000000036,12,0.35883748517200487,ejames
19,2019-04-16,1206.9427083333333,276,72,24,392.7,10,0.3389245381538236,ejames
20,2019-04-17,1210.0468749999998,276,96,24,489.192,11,0.42112004958485605,ejames
21,2019-04-18,1249.7968750000007,276,120,24,428.6040000000002,9,0.3572280495580531,ejames
22,2019-04-19,1295.7541666666668,276,144,24,439.0759999999998,13,0.352976548406494,ejames
23,2019-04-20,1102.5208333333333,276,168,24,457.02800000000036,14,0.43180212014134306,ejames
24,2019-04-23,1251.3416666666667,276,72,24,445.80800000000033,11,0.3711083437110837,ejames
25,2019-04-24,1152.3874999999996,276,96,24,349.316,9,0.3157538877620015,ejames
26,2019-04-25,1246.6666666666677,276,120,24,494.4280000000004,9,0.4131250000000001,ejames
27,2019-04-26,1369.7750000000012,276,144,24,471.98800000000017,8,0.3589306029579066,ejames
28,2019-04-27,1234.2010416666665,276,168,24,448.05199999999996,11,0.3781562464921217,ejames
29,2019-04-30,1488.2083333333337,276,72,24,568.4800000000001,10,0.39790575916230364,ejames
30,2019-05-01,1432.8875,276,96,24,486.1999999999998,10,0.35345296356715594,ejames
31,2019-05-02,1206.1645833333328,276,120,24,361.29799999999983,10,0.31202382206684753,ejames
32,2019-05-03,1310.5583333333338,276,144,24,468.2480000000005,9,0.37217598097503,ejames
33,2019-05-04,1284.8458333333333,276,168,24,481.71200000000005,10,0.39053972104305645,ejames
34,2019-05-07,1245.1083333333331,276,72,24,457.0280000000002,10,0.3823529411764708,ejames
35,2019-05-08,1277.8468750000013,276,96,24,373.26500000000055,18,0.3042756655278697,ejames
36,2019-05-09,1207.708333333333,276,120,24,463.0120000000002,10,0.3993548387096777,ejames
37,2019-05-10,1283.2875,276,144,24,450.2959999999999,10,0.3655130540376441,ejames
38,2019-05-11,1268.4833333333333,276,168,24,388.95999999999964,11,0.31941031941031917,ejames
39,2019-05-14,1136.025000000001,276,72,24,428.6040000000006,10,0.3930041152263377,ejames
40,2019-05-15,1294.1958333333343,276,96,24,410.6520000000004,11,0.33052378085490675,ejames
41,2019-05-16,1125.117708333333,276,120,24,378.48799999999983,9,0.3504151880405105,ejames
42,2019-05-17,1298.870833333334,276,144,24,489.9400000000002,11,0.39292141571685657,ejames
43,2019-05-18,966.9354166666664,276,168,24,318.64799999999997,10,0.34327525321623953,ejames
44,2019-05-21,1135.245833333333,276,72,24,348.56799999999976,16,0.3198352779684282,ejames
45,2019-05-22,1176.5416666666665,276,96,24,439.0759999999998,11,0.38874172185430456,ejames
46,2019-05-23,1144.5958333333333,276,120,24,418.87999999999965,11,0.38121170864533666,ejames
47,2019-05-24,1058.1083333333331,276,144,24,354.55199999999974,11,0.34904270986745195,ejames
48,2019-05-25,1026.9416666666666,276,168,24,329.8680000000004,14,0.3345978755690444,ejames
49,2019-05-28,1189.0083333333337,276,72,24,347.0719999999998,19,0.30406290956749643,ejames
50,2019-05-29,1581.7083333333333,276,96,24,448.05199999999945,21,0.2950738916256154,ejames
51,2019-05-30,1733.6333333333341,276,120,24,514.6240000000003,21,0.30921571266511566,ejames
52,2019-05-31,1597.3052083333334,276,144,24,471.24,11,0.3073144677917821,ejames
53,2019-06-01,1477.3000000000002,276,168,24,461.5160000000006,11,0.32542194092827037,ejames
54,2019-06-19,1232.6416666666676,276,96,24,423.3680000000002,9,0.35777496839443734,ejames
55,2019-06-20,1245.1083333333327,276,120,24,497.41999999999945,10,0.41614518147684576,ejames
56,2019-06-21,1136.0250000000003,276,144,24,415.8880000000004,11,0.38134430727023344,ejames
57,2019-06-22,1182.7749999999999,276,168,24,347.07199999999966,9,0.3056653491436098,ejames
58,2019-06-25,1464.807291666668,276,72,24,509.3880000000006,10,0.362240482429785,ejames
59,2019-06-26,1676.7666666666657,276,96,24,522.1039999999998,21,0.32434944237918223,ejames
60,2019-06-27,1367.4375,276,120,24,450.2960000000002,11,0.34301994301994315,ejames
61,2019-06-28,1623.7968749999998,276,144,24,859.4519999999995,10,0.5513389721235913,ejames
62,2019-06-29,1148.4916666666666,276,168,24,466.0039999999998,11,0.4226594301221166,ejames
