,dates,hour_pt,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2015-01-02,276,1539.9999999999998,24,500.00000000000006,9,0.32467532467532473,sunset
1,2015-01-03,276,1750.0,24,860.0000000000001,13,0.4914285714285715,sunset
2,2015-01-06,276,1980.0000000000005,24,920.0,8,0.4646464646464646,sunset
3,2015-01-07,276,2490.0,24,1370.0,10,0.5502008032128514,sunset
4,2015-01-08,276,1520.0000000000002,24,769.9999999999999,8,0.5065789473684209,sunset
5,2015-01-09,276,1660.0,24,790.0000000000001,8,0.47590361445783136,sunset
6,2015-01-10,276,2130.0,24,920.0,12,0.431924882629108,sunset
7,2015-01-13,276,1750.0,24,870.0,8,0.4971428571428571,sunset
8,2015-01-14,276,1819.9999999999998,24,830.0,7,0.45604395604395614,sunset
9,2015-01-15,276,1570.0,24,820.0,7,0.5222929936305732,sunset
10,2015-01-16,276,1410.0,24,690.0000000000001,7,0.48936170212765967,sunset
11,2015-01-17,276,1759.9999999999998,24,690.0,12,0.3920454545454546,sunset
12,2015-01-20,276,1460.0000000000005,24,830.0000000000001,8,0.5684931506849314,sunset
13,2015-01-21,276,1900.0,24,730.0000000000001,8,0.3842105263157895,sunset
14,2015-01-22,276,1699.9999999999995,24,900.0,8,0.5294117647058825,sunset
15,2015-01-23,276,1590.0000000000002,24,780.0000000000001,8,0.49056603773584906,sunset
16,2015-01-24,276,1910.0000000000002,24,660.0,12,0.34554973821989526,sunset
17,2015-01-27,276,1869.9999999999998,24,870.0,8,0.46524064171123,sunset
18,2015-01-28,276,1830.0,24,860.0,7,0.46994535519125685,sunset
19,2015-01-29,276,1850.0000000000002,24,840.0,7,0.454054054054054,sunset
20,2015-01-30,276,1689.9999999999998,24,800.0,8,0.47337278106508884,sunset
21,2015-01-31,276,2170.0000000000005,24,790.0,18,0.36405529953917043,sunset
22,2015-02-03,276,1660.0,24,770.0,7,0.463855421686747,sunset
23,2015-02-04,276,1750.0,24,760.0,8,0.4342857142857143,sunset
24,2015-02-05,276,1680.0,24,850.0000000000001,8,0.505952380952381,sunset
25,2015-02-06,276,1590.0,24,720.0000000000001,8,0.45283018867924535,sunset
