,dates,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-07-10,4506.332,24,1169.2250000000001,7,0.25946268495086466,yesler
1,2019-07-11,4691.485368421052,24,1081.7359999999999,21,0.23057430963790146,yesler
2,2019-07-12,4364.913,24,1061.5169999999998,7,0.243193163300162,yesler
3,2019-07-13,4455.133081871345,24,868.934,12,0.1950410872204542,yesler
4,2019-07-16,4780.241,24,1100.4189999999999,21,0.23020157351899204,yesler
5,2019-07-17,4333.1449999999995,24,979.682,20,0.22609028777019927,yesler
6,2019-07-18,4661.805000000001,24,990.527,8,0.21247714136477175,yesler
7,2019-07-19,4663.948315789475,24,1119.1273157894739,7,0.2399527696309896,yesler
8,2019-07-20,5025.839300409118,24,1233.7083898305084,11,0.24547310729375713,yesler
9,2019-07-23,4517.687578947368,24,1030.2659999999998,7,0.22805162641194734,yesler
10,2019-07-24,4677.862736842106,24,1300.565,7,0.2780254729915344,yesler
11,2019-07-25,4689.806169590644,24,1080.498,21,0.230392890649959,yesler
12,2019-07-26,4252.556789473685,24,990.373,8,0.23288883582964987,yesler
13,2019-07-27,4371.7119999999995,24,880.8340000000001,11,0.20148491025941329,yesler
14,2019-07-30,4361.460789473684,24,1030.549,7,0.23628528370293128,yesler
15,2019-07-31,4248.1680000000015,24,1049.737,7,0.2471034573020652,yesler
16,2019-08-01,4407.401666666667,24,989.7019999999999,21,0.22455452778110757,yesler
17,2019-08-02,4181.482368421052,24,978.4191052631579,8,0.23398857607346876,yesler
18,2019-08-03,4340.541999999999,24,870.204,9,0.20048279684887282,yesler
19,2019-08-06,4133.007368421051,24,941.1543684210526,7,0.22771659581642734,yesler
20,2019-08-07,4107.920882352941,24,979.856,21,0.2385284498076206,yesler
21,2019-08-08,4293.673,24,1039.7070000000003,7,0.2421486219374415,yesler
22,2019-08-09,4091.681894736842,24,994.9988947368421,7,0.24317601424898547,yesler
23,2019-08-10,4420.741,24,1039.2150000000001,11,0.2350771058517113,yesler
24,2019-08-13,4065.6144085330207,24,976.463,21,0.24017599847899326,yesler
25,2019-08-14,4386.578052631578,24,1029.3839999999998,7,0.23466674652750244,yesler
26,2019-08-15,4029.9500000000003,24,979.41,7,0.24303279197012367,yesler
27,2019-08-16,3754.416578947368,24,1059.903,8,0.28230831014952706,yesler
28,2019-08-17,4069.437000000001,24,889.62,16,0.2186100927474734,yesler
29,2019-08-20,4365.251388244623,24,1059.6371016949154,7,0.24274366066258146,yesler
30,2019-08-21,4479.831,24,1140.4209999999998,7,0.25456786204658166,yesler
31,2019-08-22,4310.932,24,1030.067,7,0.23894299422955406,yesler
32,2019-08-23,4023.1479473684203,24,1159.3700000000001,7,0.2881748360157511,yesler
33,2019-08-24,4679.428526315789,24,1280.752,10,0.2736983785087027,yesler
34,2019-08-27,4448.878473684211,24,1065.9494210526314,7,0.23959958163790795,yesler
35,2019-08-28,4360.088,24,1140.057,8,0.261475685811846,yesler
36,2019-08-29,4428.393627118644,24,1009.2049999999999,7,0.22789414965729776,yesler
37,2019-08-30,4611.9604488603145,24,1000.209,17,0.21687284856208314,yesler
38,2019-08-31,4567.18294736842,24,1109.386,10,0.2429037795911418,yesler
39,2019-09-03,4415.8640000000005,24,1117.652,7,0.2530992802314564,yesler
40,2019-09-04,4110.926,24,1011.959,7,0.24616327318954415,yesler
41,2019-09-05,4421.526,24,980.2310000000001,8,0.2216951794470959,yesler
42,2019-09-06,4037.737330954505,24,1069.8609999999999,7,0.2649654775208195,yesler
43,2019-09-07,4684.2266315789475,24,1075.9969999999998,11,0.2297064349419203,yesler
44,2019-09-10,4381.111684210526,24,1174.6156842105263,7,0.2681090483138851,yesler
45,2019-09-11,4524.589842105263,24,969.7069999999999,7,0.21431931596893683,yesler
46,2019-09-12,4471.804052631579,24,1259.8659999999998,7,0.2817355110313008,yesler
47,2019-09-13,4211.556305084745,24,1098.919,7,0.2609294333007588,yesler
48,2019-09-14,4979.431105263156,24,1170.562,10,0.235079464953886,yesler
49,2019-09-17,4596.160315789473,24,1149.672,8,0.2501374889057853,yesler
50,2019-09-18,4221.205885714286,24,1219.841,7,0.28897927109603333,yesler
51,2019-09-19,4685.980684210525,24,1249.2530000000002,8,0.2665937152087235,yesler
52,2019-09-20,4183.018157894737,24,1030.3999999999999,7,0.24632931560559804,yesler
53,2019-09-21,4875.600842105263,24,1040.7160000000001,9,0.21345389700741446,yesler
54,2019-09-24,4585.381789473686,24,1089.325,7,0.23756473288673172,yesler
55,2019-09-25,4916.211210526315,24,1258.607,20,0.2560115800771825,yesler
56,2019-09-26,4571.654578947368,24,1120.2530000000002,7,0.24504322902233364,yesler
57,2019-09-27,4811.186584795322,24,1060.2520000000002,8,0.22037224732682142,yesler
58,2019-09-28,5067.878894736841,24,1270.786,11,0.25075303226360696,yesler
59,2019-10-01,5391.34,24,1360.427,8,0.2523355974581458,yesler
60,2019-10-02,4919.551052631579,24,1299.9020526315792,7,0.26423184528926313,yesler
61,2019-10-03,4826.79247368421,24,1239.205,7,0.2567346756166079,yesler
62,2019-10-04,4471.831315789474,24,1289.712,7,0.2884080165202541,yesler
63,2019-10-05,5034.974736842106,24,1139.846,9,0.2263856443329251,yesler
64,2019-10-08,4986.239368421053,24,1270.01,7,0.2547029747595456,yesler
65,2019-10-09,5098.760999999999,24,1260.5169999999998,8,0.24722025605828557,yesler
66,2019-10-10,4875.809631578947,24,1350.365,7,0.27695195301599734,yesler
67,2019-10-11,5057.876,24,1249.846,7,0.24710886546052135,yesler
68,2019-10-12,5330.083052631579,24,1419.364,11,0.26629303633443924,yesler
69,2019-10-15,4560.043000000001,24,1311.0900000000001,7,0.2875170256069954,yesler
70,2019-10-16,4914.631947368422,24,1300.9152631578947,8,0.2647024796748982,yesler
71,2019-10-17,4545.809736842105,24,1209.896,7,0.26615632198467104,yesler
72,2019-10-18,4298.394842105264,24,1125.513,8,0.2618449540686559,yesler
73,2019-10-19,4672.581620689655,24,1159.878,10,0.24823065580367676,yesler
74,2019-10-22,4797.815157894737,24,1250.035,7,0.26054255090321377,yesler
