,dates,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-10-22,8359.648000000001,24,0.0,0,0.0,block11
1,2019-10-23,8314.768,24,948.7133333333336,3,0.11409979608972055,block11
2,2019-10-24,8732.152,24,995.8373333333334,3,0.1140426017931586,block11
3,2019-10-25,8100.092,24,1146.8086666666668,3,0.1415797088065996,block11
4,2019-10-26,9078.476,24,739.6057777777776,8,0.08146805452564698,block11
5,2019-10-29,8702.232,24,930.5120000000001,3,0.10692796974385421,block11
6,2019-10-30,8989.464,24,868.4280000000002,3,0.09660509236145784,block11
7,2019-10-31,9117.372,24,943.602,3,0.1034949544671425,block11
8,2019-11-01,8841.36,24,854.9640000000002,3,0.09670050761421323,block11
9,2019-11-02,9163.748,24,891.283555555556,4,0.09726190152277824,block11
10,2019-11-05,9414.328000000001,24,0.0,0,0.0,block11
11,2019-11-06,9897.536,24,0.0,0,0.0,block11
12,2019-11-07,8518.224000000002,24,1102.552,3,0.12943449244819102,block11
13,2019-11-08,8670.815999999999,24,1297.0320000000006,4,0.14958592132505183,block11
14,2019-11-09,9257.247999999998,24,987.5262222222228,5,0.10667600373482736,block11
15,2019-11-12,8916.908000000001,24,875.2846666666666,3,0.09816010961049128,block11
16,2019-11-13,9201.896,24,885.7982222222225,4,0.09626257699741689,block11
17,2019-11-14,8973.756000000001,24,834.3939999999997,3,0.09298157872801528,block11
18,2019-11-15,8701.484000000002,24,1363.7286666666664,3,0.15672368835783254,block11
19,2019-11-16,8889.98,24,884.5931111111112,5,0.09950451082129669,block11
20,2019-11-19,9337.284000000003,24,1098.0639999999996,4,0.11759993591284139,block11
21,2019-11-20,9224.336000000001,24,1191.2315555555556,4,0.129140087216636,block11
22,2019-11-21,9094.183999999997,24,1150.9226666666668,3,0.12655590283489615,block11
23,2019-11-22,9087.452,24,1200.664666666667,3,0.1321233572036108,block11
24,2019-11-23,9299.136,24,778.9173333333334,4,0.08376233376233376,block11
25,2019-11-26,8539.168,24,955.4453333333333,3,0.11188974538659191,block11
26,2019-11-27,8076.904,24,873.9133333333332,3,0.10819904920664318,block11
27,2019-11-29,6864.395999999999,24,255.8160000000006,6,0.037267080745341706,block11
28,2019-11-30,7920.572000000002,24,624.4968888888885,4,0.07884492292840573,block11
29,2019-12-03,9492.868,24,961.0553333333335,3,0.10123972368870329,block11
30,2019-12-04,9237.800000000001,24,1008.0546666666668,3,0.10912280701754387,block11
31,2019-12-05,9673.884,24,801.4820000000001,3,0.08285007345550144,block11
32,2019-12-06,8872.776,24,1205.776,3,0.1358961389310403,block11
33,2019-12-07,9356.732,24,1051.2724444444445,8,0.11235466020021141,block11
34,2019-12-10,9193.667999999998,24,980.2540000000005,3,0.10662273208038409,block11
35,2019-12-11,9088.948,24,1076.9953333333335,3,0.11849504841851151,block11
36,2019-12-12,8063.4400000000005,24,812.5773333333333,3,0.10077303648732219,block11
37,2019-12-13,8673.060000000001,24,924.0293333333334,4,0.1065401753629438,block11
38,2019-12-14,8616.96,24,745.7560000000009,8,0.086545138888889,block11
39,2019-12-17,9098.672000000002,24,952.7026666666666,3,0.10470788117943657,block11
40,2019-12-18,8606.488,24,1122.2493333333334,3,0.13039573555825948,block11
41,2019-12-19,8542.16,24,825.542666666667,3,0.09664331582019853,block11
42,2019-12-20,7683.456000000002,24,766.6999999999996,3,0.09978582554517126,block11
43,2019-12-21,8185.364,24,529.8333333333337,6,0.06472935514331846,block11
