,dates,value,Hour,WeekDay,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-03-20,1306.094632768362,276,96,24,188.96085875706171,3,0.15070441523424297,ejames
1,2019-03-21,1230.3041666666672,276,120,24,156.49822222222238,4,0.13250299064105278,ejames
2,2019-03-22,1417.304166666667,276,144,24,138.96177777777814,4,0.10213181845947125,ejames
3,2019-03-23,1189.7874999999995,276,168,24,151.71933333333294,5,0.13283125955031627,ejames
4,2019-03-26,1305.8833333333325,276,72,24,217.169333333333,2,0.1732299124900555,ejames
5,2019-03-27,1208.4874999999997,276,96,24,94.99600000000005,4,0.08188265635074152,ejames
6,2019-03-28,1400.9416666666664,276,120,24,175.53066666666618,4,0.1305153874675562,ejames
7,2019-03-29,1660.4041666666662,276,144,24,104.88622222222264,2,0.0658011366598887,ejames
8,2019-03-30,1585.6041666666663,276,168,24,240.398888888889,3,0.15793065793065805,ejames
9,2019-04-02,1248.225,276,72,24,89.01200000000004,1,0.07428214731585521,ejames
10,2019-04-03,1199.9166666666663,276,96,24,227.9737777777777,4,0.1979076479076479,ejames
11,2019-04-04,1256.016666666667,276,120,24,157.5786666666668,3,0.13068651778329204,ejames
12,2019-04-05,1475.741666666666,276,144,24,173.45288888888885,5,0.12243341546403848,ejames
13,2019-04-06,1383.0208333333328,276,168,24,150.3064444444442,5,0.1132081377151798,ejames
14,2019-04-09,2195.679166666667,276,72,24,120.67933333333357,3,0.057252280204366145,ejames
15,2019-04-10,1104.845833333333,276,96,24,145.0315555555554,4,0.13673811538144032,ejames
16,2019-04-11,1314.4541666666664,276,120,24,71.68333333333318,3,0.05680695514720399,ejames
17,2019-04-12,1193.6833333333338,276,144,24,128.32355555555532,4,0.11198143313025796,ejames
18,2019-04-13,1313.6750000000006,276,168,24,168.5493333333338,8,0.13364966389877453,ejames
19,2019-04-16,1206.9427083333333,276,72,24,117.84577777777785,2,0.10170823989485991,ejames
20,2019-04-17,1210.0468749999998,276,96,24,200.83750000000035,6,0.17289059910730076,ejames
21,2019-04-18,1249.7968750000007,276,120,24,104.62966666666674,1,0.08720555979235514,ejames
22,2019-04-19,1295.7541666666668,276,144,24,138.7539999999999,2,0.1115453998797353,ejames
23,2019-04-20,1102.5208333333333,276,168,24,163.02244444444483,5,0.15402434236356535,ejames
24,2019-04-23,1251.3416666666667,276,72,24,143.94844444444462,3,0.11982842119828434,ejames
25,2019-04-24,1152.3874999999996,276,96,24,62.33333333333364,1,0.056344376831192554,ejames
26,2019-04-25,1246.6666666666677,276,120,24,185.25466666666676,1,0.15479166666666666,ejames
27,2019-04-26,1369.7750000000012,276,144,24,106.7146666666666,1,0.08115282518012883,ejames
28,2019-04-27,1234.2010416666665,276,168,24,135.38766666666658,2,0.11426729899206604,ejames
29,2019-04-30,1488.2083333333337,276,72,24,180.5173333333336,6,0.12635253054101236,ejames
30,2019-05-01,1432.8875,276,96,24,131.64800000000005,6,0.09570418705818384,ejames
31,2019-05-02,1206.1645833333328,276,120,24,47.12088888888883,4,0.040694495541902666,ejames
32,2019-05-03,1310.5583333333338,276,144,24,127.07688888888931,4,0.10100409565332308,ejames
33,2019-05-04,1284.8458333333333,276,168,24,141.62133333333315,4,0.1148170608449564,ejames
34,2019-05-07,1245.1083333333331,276,72,24,166.38844444444467,2,0.13920178000278144,ejames
35,2019-05-08,1277.8468750000013,276,96,24,38.65750000000021,3,0.03151256222829269,ejames
36,2019-05-09,1207.708333333333,276,120,24,140.9564444444447,3,0.1215770609318999,ejames
37,2019-05-10,1283.2875,276,144,24,111.45199999999984,4,0.09046751669702477,ejames
38,2019-05-11,1268.4833333333333,276,168,24,59.5906666666667,1,0.048935298935298965,ejames
39,2019-05-14,1136.025000000001,276,72,24,125.66400000000039,5,0.11522633744855994,ejames
40,2019-05-15,1294.1958333333343,276,96,24,131.68955555555564,2,0.10599371195397685,ejames
41,2019-05-16,1125.117708333333,276,120,24,78.45661111111096,5,0.07263741026273267,ejames
42,2019-05-17,1298.870833333334,276,144,24,176.65266666666676,3,0.14167166566686662,ejames
43,2019-05-18,966.9354166666664,276,168,24,69.81666666666678,2,0.0752125666212053,ejames
44,2019-05-21,1135.245833333333,276,72,24,67.61088888888887,2,0.06203767253870206,ejames
45,2019-05-22,1176.5416666666665,276,96,24,130.9,4,0.11589403973509936,ejames
46,2019-05-23,1144.5958333333333,276,120,24,115.60755555555521,4,0.10521140609636154,ejames
47,2019-05-24,1058.1083333333331,276,144,24,72.3897777777776,2,0.07126493208967419,ejames
48,2019-05-25,1026.9416666666666,276,168,24,65.57466666666691,3,0.06651492159838164,ejames
49,2019-05-28,1189.0083333333337,276,72,24,75.71422222222222,1,0.06633173146934612,ejames
50,2019-05-29,1581.7083333333333,276,96,24,0.0,0,0.0,ejames
51,2019-05-30,1733.6333333333341,276,120,24,0.0,0,0.0,ejames
52,2019-05-31,1597.3052083333334,276,144,24,53.2727777777776,2,0.03474131090435362,ejames
53,2019-06-01,1477.3000000000002,276,168,24,100.48133333333324,2,0.0708509142053445,ejames
54,2019-06-19,1232.6416666666676,276,96,24,117.02044444444445,1,0.09889029358055901,ejames
55,2019-06-20,1245.1083333333327,276,120,24,204.6195555555554,4,0.17118620497844522,ejames
56,2019-06-21,1136.0250000000003,276,144,24,118.93200000000027,1,0.10905349794238706,ejames
57,2019-06-22,1182.7749999999999,276,168,24,62.831999999999645,3,0.05533596837944634,ejames
58,2019-06-25,1464.807291666668,276,72,24,118.77272222222248,2,0.08446270465200725,ejames
59,2019-06-26,1676.7666666666657,276,96,24,0.0,0,0.0,ejames
60,2019-06-27,1367.4375,276,120,24,121.92400000000004,4,0.09287749287749289,ejames
61,2019-06-28,1623.7968749999998,276,144,24,429.1004999999995,3,0.2752682274376218,ejames
62,2019-06-29,1148.4916666666666,276,168,24,162.6484444444443,4,0.14751997587818472,ejames
63,2019-07-02,1446.9124999999992,276,72,24,175.90466666666666,4,0.12663794650870586,ejames
64,2019-07-03,981.7520833333341,276,96,24,55.35133333333354,1,0.058729326749299725,ejames
65,2019-07-05,1151.6083333333336,276,144,24,88.26400000000025,2,0.07983761840324785,ejames
66,2019-07-06,1038.6291666666662,276,168,24,140.95644444444454,1,0.14136867550220905,ejames
67,2019-07-09,998.8916666666663,276,72,24,150.51422222222214,2,0.15695961171780204,ejames
68,2019-07-10,1111.8708333333334,276,96,24,112.32466666666686,3,0.1052324223312312,ejames
69,2019-07-11,1200.6958333333334,276,120,24,165.10022222222247,5,0.1432331098132528,ejames
70,2019-07-12,1059.666666666667,276,144,24,60.83733333333328,1,0.05980392156862738,ejames
71,2019-07-13,959.1541666666667,276,168,24,108.21066666666668,2,0.11751963173571624,ejames
72,2019-07-16,1358.1010416666672,276,72,24,151.7287222222223,5,0.11637628384472364,ejames
73,2019-07-17,1094.7291666666667,276,96,24,146.9820000000002,5,0.13985765124555177,ejames
74,2019-07-18,952.9208333333332,276,120,24,127.2431111111111,2,0.13909330426092487,ejames
75,2019-07-19,1156.2833333333326,276,144,24,145.36133333333288,6,0.13095238095238063,ejames
76,2019-07-20,1195.241666666667,276,168,24,110.45466666666658,3,0.09626249456757921,ejames
77,2019-07-23,1161.7375000000006,276,72,24,130.15200000000038,3,0.11670020120724373,ejames
78,2019-07-24,1036.2916666666665,276,96,24,135.1386666666667,1,0.13583959899749376,ejames
79,2019-07-25,1332.374999999999,276,120,24,54.60399999999993,2,0.04269005847953214,ejames
80,2019-07-26,1243.55,276,144,24,116.4386666666665,5,0.09753550543024214,ejames
81,2019-07-27,1263.0291666666667,276,168,24,67.23688888888888,2,0.05545273836452121,ejames
82,2019-07-30,1227.9406249999993,276,72,24,161.63583333333307,1,0.13711628746074106,ejames
83,2019-07-31,1406.3958333333328,276,96,24,63.496888888889,1,0.047029855340104745,ejames
84,2019-08-01,1096.2874999999997,276,120,24,151.22066666666657,5,0.1436863302534944,ejames
85,2019-08-02,1113.430208333333,276,144,24,151.76144444444435,5,0.1419800152535795,ejames
86,2019-08-03,1072.133333333334,276,168,24,133.72577777777764,5,0.12992571059431504,ejames
87,2019-08-06,1144.5958333333338,276,72,24,82.23844444444458,1,0.07484305271915902,ejames
88,2019-08-07,1056.55,276,96,24,88.7626666666667,4,0.08751229105211411,ejames
89,2019-08-08,1205.3604166666662,276,120,24,47.294444444444764,4,0.04087163110311472,ejames
90,2019-08-09,1157.037499999999,276,144,24,60.96866666666614,5,0.054889342633905366,ejames
91,2019-08-10,1173.4250000000002,276,168,24,167.80133333333345,4,0.14895971668880043,ejames
92,2019-08-13,1141.4666666666674,276,72,24,79.04266666666648,6,0.07213185764902832,ejames
93,2019-08-14,1131.35,276,96,24,0.0,0,0.0,ejames
94,2019-08-15,1259.9125,276,120,24,81.53199999999961,4,0.06740878169449566,ejames
95,2019-08-16,1192.904166666666,276,144,24,111.07799999999952,4,0.09699542782495066,ejames
96,2019-08-17,1189.0083333333334,276,168,24,153.25688888888888,2,0.13426532692587737,ejames
97,2019-08-20,1188.2291666666672,276,72,24,114.81800000000042,4,0.10065573770491837,ejames
98,2019-08-21,1333.933333333332,276,96,24,50.36533333333295,1,0.039330218068535566,ejames
99,2019-08-22,1134.4406250000002,276,120,24,37.15899999999969,2,0.03412015650150605,ejames
100,2019-08-23,1266.926041666668,276,144,24,79.55005555555545,5,0.06540606040009518,ejames
101,2019-08-24,1208.4875000000006,276,168,24,187.1246666666667,3,0.16129378895336338,ejames
102,2019-08-27,1296.5333333333333,276,72,24,92.41955555555565,2,0.07425213675213682,ejames
103,2019-08-28,1078.3802083333335,276,96,24,60.00477777777778,2,0.05796191025098192,ejames
