,dates,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2018-11-01,4788.856,24,1451.228,20,0.30304273087351136,yesler
1,2018-11-02,4057.3569999999995,24,1490.5500000000002,7,0.3673696941136805,yesler
2,2018-11-03,4760.493746931619,24,1630.0600000000002,11,0.3424140617873213,yesler
3,2018-11-06,4709.124999999999,24,1471.158,7,0.31240580787301253,yesler
4,2018-11-07,4529.283,24,1490.205,7,0.3290156521462668,yesler
5,2018-11-08,4412.553784921099,24,1569.882,6,0.3557762865950134,yesler
6,2018-11-09,4637.456631578948,24,1536.457,7,0.33131458082808457,yesler
7,2018-11-10,5151.596947368421,24,1639.374,10,0.3182263707251861,yesler
8,2018-11-13,5243.359315789473,24,1450.7160000000001,20,0.27667682350729217,yesler
9,2018-11-14,4738.433263157894,24,1483.5222631578947,19,0.3130828653201738,yesler
10,2018-11-15,4929.670000000001,24,1389.8860000000002,7,0.28194301038406216,yesler
11,2018-11-16,3976.927000000001,24,1419.1489999999997,7,0.3568456247751089,yesler
12,2018-11-17,4791.411789473684,24,1319.2199999999998,10,0.275330123555277,yesler
13,2018-11-20,4494.155789473684,24,1420.5819999999999,7,0.31609540624455434,yesler
14,2018-11-21,4755.3245789473685,24,1456.4360000000001,7,0.30627478226152854,yesler
15,2018-11-23,4056.5970000000007,24,1167.219,11,0.28773353626204423,yesler
16,2018-11-24,4519.141263157895,24,1338.069,11,0.29608921741582855,yesler
17,2018-11-27,4888.569210526316,24,1584.624210526316,20,0.3241488751175339,yesler
18,2018-11-28,4720.096,24,1449.404,7,0.3070708731347837,yesler
19,2018-11-29,4866.544,24,1599.573,7,0.32868766829191315,yesler
20,2018-11-30,4800.402842105263,24,1479.955,7,0.30829808428139155,yesler
21,2018-12-01,4962.20659672706,24,1339.3939999999998,11,0.26991903176369736,yesler
22,2018-12-04,5515.389,24,1719.747,20,0.31180883161641,yesler
23,2018-12-05,5353.986000000001,24,1758.68,7,0.3284805003225634,yesler
24,2018-12-06,5173.8369999999995,24,1551.841,8,0.2999400638249717,yesler
25,2018-12-07,5162.997999999999,24,1521.279,7,0.29465031750932313,yesler
26,2018-12-08,5025.9563684210525,24,1484.1964736842106,10,0.29530627902177425,yesler
27,2018-12-11,4786.952578947369,24,1313.2505789473685,19,0.2743395839605637,yesler
28,2018-12-12,5178.166000000001,24,1489.9740000000002,7,0.2877416444355009,yesler
29,2018-12-13,5196.855315789474,24,1486.632,19,0.2860637654242949,yesler
30,2018-12-14,4795.622423728814,24,1580.626,7,0.3295976747833687,yesler
31,2018-12-15,4994.827,24,1490.1839999999997,11,0.29834546822142183,yesler
32,2018-12-18,4571.819736842106,24,1288.9717368421054,19,0.2819384426850646,yesler
33,2018-12-19,4379.447999999999,24,1407.8770000000002,7,0.3214736195063853,yesler
34,2018-12-20,5047.803403508771,24,1523.079,20,0.30173104581317384,yesler
35,2018-12-21,4479.361000000001,24,1161.2330000000002,7,0.2592407711724954,yesler
36,2018-12-22,4311.421473684211,24,1379.2900000000002,10,0.319915370932493,yesler
37,2018-12-26,4306.772631578948,24,1139.9260000000002,21,0.26468218722335496,yesler
38,2018-12-27,4246.933,24,1151.403,19,0.2711140015630103,yesler
39,2018-12-28,4675.780368421053,24,1155.6893684210527,19,0.2471650243082981,yesler
40,2018-12-29,4486.74552631579,24,1326.3995263157894,10,0.2956261991093884,yesler
41,2019-01-02,5331.303999999999,24,1492.42,7,0.27993526536847274,yesler
42,2019-01-03,5000.795842105264,24,1459.6409999999998,19,0.2918817416440484,yesler
43,2019-01-04,5267.254423728814,24,1330.2220000000002,7,0.2525456135187608,yesler
44,2019-01-05,5748.305789473683,24,1831.3167894736844,11,0.31858374563635733,yesler
45,2019-01-08,5542.454105263158,24,1509.059105263158,20,0.2722727291201461,yesler
46,2019-01-09,5555.339307760927,24,1653.2435789473684,20,0.29759542799442545,yesler
47,2019-01-10,5513.973000000001,24,1749.1200000000001,20,0.3172159167264692,yesler
48,2019-01-11,5594.704947368422,24,1659.4017894736844,18,0.296602198879892,yesler
49,2019-01-12,5629.184000000001,24,1518.9070000000002,9,0.26982720763790985,yesler
50,2019-01-15,5418.916789473685,24,1649.792,7,0.30445051365334524,yesler
51,2019-01-16,5561.65,24,1760.08,7,0.3164672354427194,yesler
52,2019-01-17,5541.339,24,1771.2580000000003,7,0.31964440363601654,yesler
