,dates,value,Hour,WeekDay,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-03-20,1306.094632768362,276,96,24,451.04399999999964,9,0.3597269969666326,ejames
1,2019-03-21,1230.3041666666672,276,120,24,391.20400000000024,8,0.33122229259024705,ejames
2,2019-03-22,1417.304166666667,276,144,24,441.32000000000045,10,0.3243540406816935,ejames
3,2019-03-23,1189.7874999999995,276,168,24,403.91999999999945,11,0.3536345776031431,ejames
4,2019-03-26,1305.8833333333325,276,72,24,451.7919999999996,11,0.3603818615751789,ejames
5,2019-03-27,1208.4874999999997,276,96,24,313.41199999999975,14,0.27014829142488705,ejames
6,2019-03-28,1400.9416666666664,276,120,24,453.2879999999995,10,0.337041156840934,ejames
7,2019-03-29,1660.4041666666662,276,144,24,403.17199999999985,8,0.25293289535429375,ejames
8,2019-03-30,1585.6041666666663,276,168,24,466.752,14,0.3066339066339067,ejames
9,2019-04-02,1248.225,276,72,24,323.88400000000007,11,0.2702871410736579,ejames
10,2019-04-03,1199.9166666666663,276,96,24,483.9559999999998,10,0.4201298701298701,ejames
11,2019-04-04,1256.016666666667,276,120,24,379.9840000000004,10,0.31513647642679915,ejames
12,2019-04-05,1475.741666666666,276,144,24,466.752,9,0.3294614572333686,ejames
13,2019-04-06,1383.0208333333328,276,168,24,434.5879999999998,11,0.32732394366197176,ejames
14,2019-04-09,2195.679166666667,276,72,24,565.488,12,0.2682768998961977,ejames
15,2019-04-10,1104.845833333333,276,96,24,380.7319999999998,9,0.3589603376036626,ejames
16,2019-04-11,1314.4541666666664,276,120,24,346.32399999999956,19,0.2744516893894484,ejames
17,2019-04-12,1193.6833333333338,276,144,24,382.97599999999983,9,0.33420365535248014,ejames
18,2019-04-13,1313.6750000000006,276,168,24,364.2760000000002,13,0.2888493475682088,ejames
19,2019-04-16,1206.9427083333333,276,72,24,325.38,13,0.28082318875602524,ejames
20,2019-04-17,1210.0468749999998,276,96,24,415.8880000000002,9,0.35801643359201846,ejames
21,2019-04-18,1249.7968750000007,276,120,24,354.55200000000025,8,0.29550802005325866,ejames
22,2019-04-19,1295.7541666666668,276,144,24,362.7799999999998,11,0.2916416115453997,ejames
23,2019-04-20,1102.5208333333333,276,168,24,388.96000000000015,13,0.36749116607773863,ejames
24,2019-04-23,1251.3416666666667,276,72,24,350.064,12,0.29140722291407223,ejames
25,2019-04-24,1152.3874999999996,276,96,24,279.004,12,0.25219743069641665,ejames
26,2019-04-25,1246.6666666666677,276,120,24,434.5880000000004,9,0.3631250000000001,ejames
