,time stamp,time_pt,var,vartype,site,value,Date,Hour,WeekDay,WeekPart,dates,timestep_sum
34,2019-03-21 10:00:00,2019-03-21 10:00:00,Flow_CW,Flow (GPM),ejames,72.5560000000002,2019-03-21,10,5,Weekday,2019-03-21,1
35,2019-03-21 11:00:00,2019-03-21 11:00:00,Flow_CW,Flow (GPM),ejames,58.344,2019-03-21,11,5,Weekday,2019-03-21,1
36,2019-03-21 12:00:00,2019-03-21 12:00:00,Flow_CW,Flow (GPM),ejames,83.7760000000002,2019-03-21,12,5,Weekday,2019-03-21,1
37,2019-03-21 13:00:00,2019-03-21 13:00:00,Flow_CW,Flow (GPM),ejames,77.0440000000002,2019-03-21,13,5,Weekday,2019-03-21,1
38,2019-03-21 14:00:00,2019-03-21 14:00:00,Flow_CW,Flow (GPM),ejames,71.05999999999979,2019-03-21,14,5,Weekday,2019-03-21,1
39,2019-03-21 15:00:00,2019-03-21 15:00:00,Flow_CW,Flow (GPM),ejames,33.660000000000004,2019-03-21,15,5,Weekday,2019-03-21,1
40,2019-03-21 16:00:00,2019-03-21 16:00:00,Flow_CW,Flow (GPM),ejames,25.432000000000027,2019-03-21,16,5,Weekday,2019-03-21,1
41,2019-03-21 17:00:00,2019-03-21 17:00:00,Flow_CW,Flow (GPM),ejames,89.76,2019-03-21,17,5,Weekday,2019-03-21,1
42,2019-03-21 18:00:00,2019-03-21 18:00:00,Flow_CW,Flow (GPM),ejames,47.124,2019-03-21,18,5,Weekday,2019-03-21,1
43,2019-03-21 19:00:00,2019-03-21 19:00:00,Flow_CW,Flow (GPM),ejames,50.86399999999998,2019-03-21,19,5,Weekday,2019-03-21,1
44,2019-03-21 20:00:00,2019-03-21 20:00:00,Flow_CW,Flow (GPM),ejames,39.64399999999998,2019-03-21,20,5,Weekday,2019-03-21,1
45,2019-03-21 21:00:00,2019-03-21 21:00:00,Flow_CW,Flow (GPM),ejames,44.88,2019-03-21,21,5,Weekday,2019-03-21,1
46,2019-03-21 22:00:00,2019-03-21 22:00:00,Flow_CW,Flow (GPM),ejames,47.87200000000002,2019-03-21,22,5,Weekday,2019-03-21,1
47,2019-03-21 23:00:00,2019-03-21 23:00:00,Flow_CW,Flow (GPM),ejames,19.44799999999998,2019-03-21,23,5,Weekday,2019-03-21,1
48,2019-03-22 00:00:00,2019-03-22 00:00:00,Flow_CW,Flow (GPM),ejames,20.196,2019-03-22,0,6,Weekday,2019-03-22,1
49,2019-03-22 01:00:00,2019-03-22 01:00:00,Flow_CW,Flow (GPM),ejames,5.983999999999998,2019-03-22,1,6,Weekday,2019-03-22,1
50,2019-03-22 02:00:00,2019-03-22 02:00:00,Flow_CW,Flow (GPM),ejames,31.415999999999997,2019-03-22,2,6,Weekday,2019-03-22,1
51,2019-03-22 03:00:00,2019-03-22 03:00:00,Flow_CW,Flow (GPM),ejames,12.715999999999982,2019-03-22,3,6,Weekday,2019-03-22,1
