,dates,hour_pt,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2015-01-02,276,1539.9999999999998,24,111.11111111111128,4,0.07215007215007227,sunset
1,2015-01-03,276,1750.0,24,412.22222222222234,3,0.2355555555555556,sunset
2,2015-01-06,276,1980.0000000000005,24,389.99999999999994,4,0.1969696969696969,sunset
3,2015-01-07,276,2490.0,24,769.9999999999999,2,0.3092369477911646,sunset
4,2015-01-08,276,1520.0000000000002,24,382.22222222222223,4,0.25146198830409355,sunset
5,2015-01-09,276,1660.0,24,363.33333333333337,3,0.21887550200803216,sunset
6,2015-01-10,276,2130.0,24,391.6666666666668,1,0.18388106416275438,sunset
7,2015-01-13,276,1750.0,24,451.11111111111114,4,0.2577777777777778,sunset
8,2015-01-14,276,1819.9999999999998,24,385.5555555555557,4,0.21184371184371195,sunset
9,2015-01-15,276,1570.0,24,441.11111111111126,4,0.280962491153574,sunset
10,2015-01-16,276,1410.0,24,346.66666666666674,4,0.24586288416075652,sunset
11,2015-01-17,276,1759.9999999999998,24,342.2222222222224,4,0.1944444444444446,sunset
12,2015-01-20,276,1460.0000000000005,24,455.55555555555554,4,0.31202435312024346,sunset
13,2015-01-21,276,1900.0,24,293.33333333333337,3,0.1543859649122807,sunset
14,2015-01-22,276,1699.9999999999995,24,482.2222222222224,4,0.2836601307189544,sunset
15,2015-01-23,276,1590.0000000000002,24,396.66666666666674,4,0.24947589098532497,sunset
16,2015-01-24,276,1910.0000000000002,24,255.0,4,0.13350785340314136,sunset
17,2015-01-27,276,1869.9999999999998,24,384.4444444444445,4,0.20558526440879388,sunset
18,2015-01-28,276,1830.0,24,423.33333333333337,4,0.2313296903460838,sunset
19,2015-01-29,276,1850.0000000000002,24,391.66666666666663,3,0.21171171171171166,sunset
20,2015-01-30,276,1689.9999999999998,24,398.3333333333334,3,0.23570019723865884,sunset
21,2015-01-31,276,2170.0000000000005,24,314.99999999999994,4,0.1451612903225806,sunset
22,2015-02-03,276,1660.0,24,351.1111111111112,4,0.21151271753681394,sunset
23,2015-02-04,276,1750.0,24,368.33333333333337,3,0.21047619047619048,sunset
