,dates,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-10-22,8359.648000000001,24,3241.8320000000003,21,0.38779527559055116,block11
1,2019-10-23,8314.768,24,3113.176,8,0.3744152572867938,block11
2,2019-10-24,8732.152,24,3186.4800000000005,9,0.36491348295357207,block11
3,2019-10-25,8100.092,24,3167.78,8,0.3910795087265676,block11
4,2019-10-26,9078.476,24,3210.4159999999997,11,0.3536293977094833,block11
5,2019-10-29,8702.232,24,2998.732,21,0.34459343304108647,block11
6,2019-10-30,8989.464,24,3175.2599999999998,20,0.35322016974538195,block11
7,2019-10-31,9117.372,24,3252.304,8,0.35671507096562477,block11
8,2019-11-01,8841.36,24,3204.4320000000002,9,0.3624365482233503,block11
9,2019-11-02,9163.748,24,3365.252,11,0.3672353277283487,block11
10,2019-11-05,9414.328000000001,24,3499.892,21,0.3717622755442555,block11
11,2019-11-06,9897.536,24,3748.228,20,0.3787031438935913,block11
12,2019-11-07,8518.224000000002,24,3226.8720000000003,8,0.37881981032665957,block11
13,2019-11-08,8670.815999999999,24,3677.916,8,0.42417184265010355,block11
14,2019-11-09,9257.247999999998,24,3558.984,11,0.3844537815126051,block11
15,2019-11-12,8916.908000000001,24,3202.188,20,0.3591141682744736,block11
16,2019-11-13,9201.896,24,3431.8240000000005,21,0.37294748821329865,block11
17,2019-11-14,8973.756000000001,24,3158.8039999999996,20,0.352004667833625,block11
18,2019-11-15,8701.484000000002,24,3766.928,8,0.43290638700249284,block11
19,2019-11-16,8889.98,24,3354.0319999999997,11,0.3772822885990744,block11
20,2019-11-19,9337.284000000003,24,3487.924,8,0.3735480253144275,block11
21,2019-11-20,9224.336000000001,24,3565.7160000000003,8,0.38655530327602977,block11
22,2019-11-21,9094.183999999997,24,3425.84,8,0.37670669518012845,block11
23,2019-11-22,9087.452,24,3472.216,8,0.3820890608280517,block11
24,2019-11-23,9299.136,24,3288.208,11,0.3536036036036036,block11
25,2019-11-26,8539.168,24,2995.7400000000002,21,0.350823405746321,block11
26,2019-11-27,8076.904,24,2926.176,8,0.36228931283571025,block11
27,2019-11-29,6864.395999999999,24,2140.028,11,0.31175765500708297,block11
28,2019-11-30,7920.572000000002,24,2783.308,12,0.3514023987156482,block11
29,2019-12-03,9492.868,24,3302.42,8,0.3478843274761642,block11
30,2019-12-04,9237.800000000001,24,3302.42,8,0.35748987854251013,block11
31,2019-12-05,9673.884,24,3289.704,8,0.3400603108327534,block11
32,2019-12-06,8872.776,24,3440.052,8,0.3877086494688923,block11
33,2019-12-07,9356.732,24,3504.38,12,0.3745303381565273,block11
34,2019-12-10,9193.667999999998,24,3155.0640000000008,8,0.34317793507444483,block11
35,2019-12-11,9088.948,24,3261.2800000000007,21,0.35881820426302363,block11
36,2019-12-12,8063.4400000000005,24,2794.5280000000002,9,0.34656771799628944,block11
37,2019-12-13,8673.060000000001,24,3172.2679999999996,9,0.3657611039241051,block11
38,2019-12-14,8616.96,24,2914.2079999999996,13,0.33819444444444446,block11
39,2019-12-17,9098.672000000002,24,3429.58,8,0.37693193028609007,block11
40,2019-12-18,8606.488,24,3331.5919999999996,8,0.3871023813662437,block11
41,2019-12-19,8542.16,24,3085.5,8,0.36120840630472856,block11
42,2019-12-20,7683.456000000002,24,2760.868,9,0.35932632398753883,block11
43,2019-12-21,8185.364,24,2788.5440000000003,11,0.3406744037284109,block11
44,2019-12-24,6001.204000000001,24,1898.424,9,0.31634052100211885,block11
45,2019-12-26,6572.676000000001,24,2083.18,20,0.3169454876522134,block11
46,2019-12-27,6767.904,24,2107.864,20,0.3114500442086649,block11
47,2019-12-28,7155.368,24,2307.5800000000004,11,0.3224963412084466,block11
48,2019-12-31,8405.276000000002,24,2676.344,9,0.3184123876479487,block11
49,2020-01-02,8349.176,24,2854.368,21,0.34187421609030644,block11
50,2020-01-03,7696.172000000001,24,2635.204,9,0.3424045096705219,block11
51,2020-01-04,9916.983999999999,24,3595.6360000000004,12,0.3625735405038468,block11
52,2020-01-07,8750.104000000003,24,3464.736,20,0.39596512224311836,block11
53,2020-01-08,9311.852,24,3475.2080000000005,20,0.37320266688087395,block11
54,2020-01-09,9620.776,24,3229.8640000000005,21,0.3357176177888354,block11
55,2020-01-10,9165.243999999999,24,3250.8080000000004,8,0.3546886476781197,block11
56,2020-01-11,10403.935,24,3585.9119999999994,11,0.3446688200185795,block11
57,2020-01-14,10089.771999999999,24,3466.232,21,0.34353918007265183,block11
58,2020-01-15,10532.588,24,3943.456,20,0.37440522690149847,block11
59,2020-01-16,10197.484000000002,24,3666.6960000000004,20,0.3595686936110907,block11
60,2020-01-17,9168.984,24,3434.8160000000003,8,0.3746124979605156,block11
61,2020-01-18,9703.056,24,3273.9959999999996,13,0.33741905642923214,block11
62,2020-01-21,9780.848000000002,24,3704.096,21,0.37870908534720094,block11
63,2020-01-22,8973.008,24,3426.588,21,0.3818772924308103,block11
64,2020-01-23,9485.387999999999,24,3253.8,21,0.34303288384196834,block11
65,2020-01-24,8530.94,24,3253.8,8,0.38141166155195094,block11
66,2020-01-25,9912.496,24,3605.3599999999997,12,0.3637186839722306,block11
67,2020-01-28,9228.824000000002,24,3354.7799999999997,20,0.36351110390662983,block11
68,2020-01-29,9263.106999999998,24,3377.118,8,0.36457724173973166,block11
69,2020-01-30,9249.767999999998,24,3267.264,20,0.35322658903444937,block11
70,2020-01-31,8902.696000000002,24,2962.08,8,0.33271719038817,block11
71,2020-02-01,9081.468,24,3104.2,12,0.34181698377398895,block11
72,2020-02-04,9893.856,24,3514.1640000000007,21,0.35518649149532805,block11
73,2020-02-05,9474.168,24,3411.6280000000006,20,0.36009789988946794,block11
74,2020-02-06,10067.331999999999,24,3608.352,8,0.3584218738390668,block11
75,2020-02-07,9768.132,24,3608.3520000000003,8,0.3694004135079256,block11
76,2020-02-08,10133.903999999999,24,3897.8279999999995,11,0.3846324180690877,block11
77,2020-02-11,9691.087999999998,24,3657.7200000000003,20,0.3774313059586293,block11
78,2020-02-12,10074.064,24,3799.84,20,0.3771903771903772,block11
79,2020-02-13,10121.936,24,3710.0800000000004,21,0.36653857522908667,block11
80,2020-02-14,10069.576000000001,24,3300.176,20,0.32773733471995237,block11
81,2020-02-15,9950.627,24,3402.6349999999998,12,0.3419518187145393,block11
82,2020-02-18,10156.344000000001,24,4024.9880000000003,20,0.3963028428339962,block11
83,2020-02-19,10150.359999999999,24,3908.3,21,0.3850405305821666,block11
84,2020-02-20,10002.256000000001,24,3458.752,8,0.34579718815435234,block11
85,2020-02-21,9207.661000000002,24,3455.7599999999998,8,0.37531355683055656,block11
86,2020-02-22,10230.223999999997,24,3387.5200000000004,11,0.33112862435856744,block11
87,2020-02-25,10181.028,24,3474.46,8,0.34126809198442437,block11
88,2020-02-26,9916.892,24,3397.416,21,0.34258878689008615,block11
89,2020-02-27,10854.050000000001,24,3789.368,21,0.3491201901594335,block11
90,2020-02-28,9593.268,24,3716.0640000000003,8,0.38736163734819046,block11
91,2020-02-29,10490.700000000003,24,3240.3360000000002,12,0.3088770053475935,block11
92,2020-03-03,10234.884,24,3617.3279999999995,21,0.3534312650734488,block11
93,2020-03-04,10683.684,24,3710.8280000000004,20,0.3473359938388294,block11
94,2020-03-05,10478.732000000004,24,3617.328,20,0.3452066528660146,block11
95,2020-03-06,10681.44,24,3283.72,19,0.30742296918767503,block11
96,2020-03-07,11230.472000000002,24,3886.6079999999997,11,0.3460769948048487,block11
97,2020-03-10,10292.480000000001,24,3724.292,20,0.36184593023255807,block11
