,time stamp,date_pt,hour_pt,time_pt,var,value,site,vartype,dates,timestep_sum
41,2015-01-02 17:00:00,2015-01-03,17,2015-01-02 17:00:00,GPM,90.0,sunset,Flow (GPM),2015-01-02,1
42,2015-01-02 18:00:00,2015-01-03,18,2015-01-02 18:00:00,GPM,120.0,sunset,Flow (GPM),2015-01-02,1
43,2015-01-02 19:00:00,2015-01-03,19,2015-01-02 19:00:00,GPM,140.0,sunset,Flow (GPM),2015-01-02,1
44,2015-01-02 20:00:00,2015-01-03,20,2015-01-02 20:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-02,1
45,2015-01-02 21:00:00,2015-01-03,21,2015-01-02 21:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-02,1
46,2015-01-02 22:00:00,2015-01-03,22,2015-01-02 22:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-02,1
47,2015-01-02 23:00:00,2015-01-03,23,2015-01-02 23:00:00,GPM,90.0,sunset,Flow (GPM),2015-01-02,1
48,2015-01-03 00:00:00,2015-01-03,0,2015-01-03 00:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-03,1
49,2015-01-03 01:00:00,2015-01-03,1,2015-01-03 01:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-03,1
50,2015-01-03 02:00:00,2015-01-03,2,2015-01-03 02:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-03,1
51,2015-01-03 03:00:00,2015-01-03,3,2015-01-03 03:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-03,1
52,2015-01-03 04:00:00,2015-01-03,4,2015-01-03 04:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-03,1
53,2015-01-03 05:00:00,2015-01-03,5,2015-01-03 05:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-03,1
54,2015-01-03 06:00:00,2015-01-03,6,2015-01-03 06:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-03,1
55,2015-01-03 07:00:00,2015-01-03,7,2015-01-03 07:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-03,1
56,2015-01-03 08:00:00,2015-01-03,8,2015-01-03 08:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-03,1
57,2015-01-03 09:00:00,2015-01-03,9,2015-01-03 09:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-03,1
58,2015-01-03 10:00:00,2015-01-03,10,2015-01-03 10:00:00,GPM,110.00000000000001,sunset,Flow (GPM),2015-01-03,1
59,2015-01-03 11:00:00,2015-01-03,11,2015-01-03 11:00:00,GPM,130.00000000000003,sunset,Flow (GPM),2015-01-03,1
60,2015-01-03 12:00:00,2015-01-03,12,2015-01-03 12:00:00,GPM,300.0,sunset,Flow (GPM),2015-01-03,1
61,2015-01-03 13:00:00,2015-01-03,13,2015-01-03 13:00:00,GPM,90.0,sunset,Flow (GPM),2015-01-03,1
62,2015-01-03 14:00:00,2015-01-03,14,2015-01-03 14:00:00,GPM,130.00000000000003,sunset,Flow (GPM),2015-01-03,1
