,dates,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2018-11-01,4788.856,24,391.1642222222224,5,0.08168218510270979,yesler
1,2018-11-02,4057.3569999999995,24,588.9151111111113,4,0.14514747189145824,yesler
2,2018-11-03,4760.493746931619,24,632.9157510227939,6,0.13295170305196607,yesler
3,2018-11-06,4709.124999999999,24,455.7968333333335,3,0.09679013263256626,yesler
4,2018-11-07,4529.283,24,565.4784999999999,3,0.12484945188896343,yesler
5,2018-11-08,4412.553784921099,24,684.4563691798171,3,0.15511570001000136,yesler
6,2018-11-09,4637.456631578948,24,593.5375614035088,3,0.12798773305216285,yesler
7,2018-11-10,5151.596947368421,24,518.9138479532166,5,0.10072873581818009,yesler
8,2018-11-13,5243.359315789473,24,313.7403011695911,5,0.059835743132235136,yesler
9,2018-11-14,4738.433263157894,24,433.70141520467854,2,0.09152844223359208,yesler
10,2018-11-15,4929.670000000001,24,378.4283333333333,3,0.0767654494790388,yesler
11,2018-11-16,3976.927000000001,24,535.3874444444443,4,0.13462340255288674,yesler
12,2018-11-17,4791.411789473684,24,287.8052807017548,5,0.0600669058197081,yesler
13,2018-11-20,4494.155789473684,24,431.5260350877194,3,0.09601937611919233,yesler
14,2018-11-21,4755.3245789473685,24,405.53250584795325,5,0.08527966895116154,yesler
15,2018-11-23,4056.5970000000007,24,265.75299999999993,4,0.06551131403982202,yesler
16,2018-11-24,4519.141263157895,24,341.70357894736844,1,0.07561250225415439,yesler
17,2018-11-27,4888.569210526316,24,498.2754970760233,4,0.10192665289531162,yesler
18,2018-11-28,4720.096,24,400.493777777778,4,0.08484865091256154,yesler
19,2018-11-29,4866.544,24,518.118777777778,4,0.10646544606969092,yesler
20,2018-11-30,4800.402842105263,24,496.38290643274865,2,0.10340442724491329,yesler
21,2018-12-01,4962.20659672706,24,318.70870163647004,1,0.06422721332213009,yesler
22,2018-12-04,5515.389,24,494.105,4,0.08958660939418779,yesler
23,2018-12-05,5353.986000000001,24,568.9053333333331,4,0.10625827810034116,yesler
24,2018-12-06,5173.8369999999995,24,484.6672222222222,2,0.09367655421348262,yesler
25,2018-12-07,5162.997999999999,24,390.7593333333336,3,0.0756845796441009,yesler
26,2018-12-08,5025.9563684210525,24,456.07518421052623,6,0.09074396010998523,yesler
27,2018-12-11,4786.952578947369,24,263.049529239766,1,0.05495135472965339,yesler
28,2018-12-12,5178.166000000001,24,364.8942222222221,2,0.07046784947068557,yesler
29,2018-12-13,5196.855315789474,24,384.04544736842104,3,0.07389958427389454,yesler
30,2018-12-14,4795.622423728814,24,540.3075960451977,3,0.11266683410515126,yesler
31,2018-12-15,4994.827,24,412.75205555555544,5,0.08263590621968597,yesler
32,2018-12-18,4571.819736842106,24,333.660043859649,3,0.07298188972125093,yesler
