,dates,hour_pt,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2014-01-02,276,1200.0,24,196.66666666666663,5,0.16388888888888886,stream
1,2014-01-03,276,1289.9999999999998,24,225.00000000000009,3,0.17441860465116288,stream
2,2014-01-07,276,2380.0,24,396.66666666666674,6,0.1666666666666667,stream
3,2014-01-08,276,2770.0,24,288.33333333333337,3,0.10409145607701567,stream
4,2014-01-09,276,2810.0,24,345.5555555555556,4,0.12297350731514435,stream
5,2014-01-10,276,2770.0,24,308.3333333333334,3,0.11131167268351387,stream
6,2014-01-11,276,2650.0,24,353.888888888889,5,0.13354297693920342,stream
7,2014-01-14,276,2570.0,24,298.8888888888889,4,0.1162991785559879,stream
8,2014-01-15,276,2540.0,24,356.6666666666667,3,0.14041994750656167,stream
9,2014-01-16,276,2560.0000000000005,24,323.3333333333333,3,0.12630208333333331,stream
10,2014-01-17,276,2470.0000000000005,24,418.33333333333326,3,0.1693657219973009,stream
11,2014-01-18,276,3240.0,24,320.0000000000001,2,0.09876543209876545,stream
12,2014-01-23,276,2420.0,24,396.66666666666663,3,0.16391184573002754,stream
13,2014-01-24,276,2680.0000000000005,24,345.55555555555554,5,0.12893864013266998,stream
14,2014-01-25,276,2550.0,24,395.0000000000001,3,0.15490196078431376,stream
15,2014-01-28,276,2450.0,24,461.66666666666663,3,0.18843537414965983,stream
16,2014-01-29,276,2410.0000000000005,24,354.44444444444446,4,0.14707238358690639,stream
17,2014-01-30,276,2790.0,24,430.0,4,0.15412186379928317,stream
18,2014-01-31,276,2320.0000000000005,24,375.55555555555543,5,0.16187739463601525,stream
19,2014-02-01,276,3050.0,24,395.5555555555555,1,0.12969034608378868,stream
20,2014-02-04,276,2970.0,24,485.0000000000001,3,0.16329966329966336,stream
21,2014-02-05,276,2700.0,24,580.0,1,0.2148148148148148,stream
22,2014-02-06,276,2820.0,24,463.33333333333337,4,0.16430260047281325,stream
23,2014-02-07,276,2560.0,24,471.11111111111114,4,0.1840277777777778,stream
24,2014-02-08,276,2959.999999999999,24,531.1111111111118,5,0.1794294294294297,stream
25,2014-02-11,276,2610.0,24,335.0000000000001,5,0.12835249042145597,stream
26,2014-02-12,276,2499.9999999999995,24,464.4444444444446,4,0.1857777777777779,stream
27,2014-02-13,276,2539.9999999999995,24,435.55555555555554,4,0.17147856517935262,stream
28,2014-02-14,276,2690.0,24,321.6666666666667,3,0.11957868649318464,stream
29,2014-02-15,276,2610.0,24,415.0,5,0.15900383141762453,stream
30,2014-02-22,276,2920.0000000000005,24,455.5555555555555,2,0.15601217656012173,stream
31,2014-02-25,276,2770.0000000000005,24,474.44444444444434,4,0.17127958283192934,stream
32,2014-02-26,276,2640.0000000000005,24,513.3333333333334,4,0.19444444444444442,stream
33,2014-02-27,276,2539.9999999999995,24,436.6666666666667,3,0.17191601049868768,stream
34,2014-02-28,276,2159.9999999999995,24,450.0000000000001,4,0.20833333333333343,stream
35,2014-03-01,276,2530.0000000000005,24,497.2222222222222,5,0.1965305226174791,stream
36,2014-03-04,276,2460.0000000000005,24,466.66666666666663,5,0.18970189701897014,stream
37,2014-03-05,276,2640.0,24,353.33333333333337,4,0.13383838383838384,stream
38,2014-03-06,276,2410.0,24,404.4444444444445,4,0.16781927155371143,stream
39,2014-03-07,276,2460.0,24,453.3333333333333,4,0.1842818428184282,stream
40,2014-03-08,276,2620.0,24,312.22222222222223,5,0.11916878710771842,stream
41,2014-03-11,276,2530.000000000001,24,377.7777777777776,4,0.14931927975406226,stream
42,2014-03-12,276,2520.0,24,430.0,4,0.17063492063492064,stream
43,2014-03-13,276,2280.0,24,450.0,3,0.19736842105263158,stream
44,2014-03-14,276,2270.0000000000005,24,449.4444444444443,5,0.19799314733235426,stream
45,2014-03-15,276,2629.9999999999995,24,229.44444444444457,5,0.08724123362906638,stream
46,2014-03-18,276,2590.0,24,320.5555555555556,5,0.1237666237666238,stream
47,2014-03-19,276,2790.0,24,410.0,4,0.14695340501792115,stream
48,2014-03-20,276,2770.0,24,368.33333333333337,3,0.13297232250300844,stream
49,2014-03-21,276,2840.0,24,486.66666666666674,3,0.17136150234741787,stream
50,2014-03-22,276,3040.0000000000005,24,274.4444444444445,4,0.09027777777777779,stream
51,2014-03-25,276,2930.0,24,351.6666666666667,3,0.12002275312855518,stream
52,2014-03-26,276,3740.0,24,431.11111111111114,5,0.11527035056446822,stream
53,2014-03-27,276,2880.0,24,470.0000000000001,3,0.16319444444444448,stream
54,2014-03-28,276,2900.0,24,376.66666666666674,3,0.1298850574712644,stream
55,2014-03-29,276,2639.9999999999995,24,336.66666666666686,3,0.12752525252525262,stream
56,2014-04-01,276,2509.9999999999995,24,341.1111111111111,2,0.13590084108012396,stream
57,2014-04-02,276,2419.9999999999995,24,386.66666666666663,3,0.15977961432506887,stream
58,2014-04-03,276,2290.0,24,388.33333333333337,3,0.16957787481804953,stream
59,2014-04-04,276,2340.0000000000005,24,409.99999999999994,3,0.17521367521367515,stream
60,2014-04-05,276,2340.0,24,330.00000000000006,2,0.14102564102564105,stream
61,2014-04-08,276,2650.0000000000005,24,195.55555555555551,2,0.07379454926624736,stream
62,2014-04-09,276,2950.0,24,504.4444444444445,4,0.17099811676082866,stream
63,2014-04-10,276,2750.0,24,331.66666666666674,3,0.12060606060606062,stream
64,2014-04-11,276,2430.0,24,529.9999999999999,4,0.21810699588477364,stream
65,2014-04-12,276,2580.0000000000005,24,443.33333333333314,5,0.17183462532299731,stream
66,2014-04-15,276,2519.9999999999995,24,340.0000000000001,4,0.134920634920635,stream
67,2014-04-16,276,2539.9999999999995,24,405.55555555555566,4,0.1596675415573054,stream
68,2014-04-17,276,2320.0000000000005,24,344.4444444444444,4,0.14846743295019152,stream
69,2014-04-18,276,2400.0,24,363.33333333333337,5,0.1513888888888889,stream
70,2014-04-19,276,2570.0,24,232.22222222222223,2,0.09035884133160398,stream
71,2014-04-22,276,2750.0,24,391.66666666666674,3,0.14242424242424243,stream
72,2014-04-23,276,2850.0,24,396.66666666666674,4,0.13918128654970763,stream
73,2014-04-24,276,2800.0,24,507.7777777777778,4,0.18134920634920637,stream
74,2014-04-25,276,2580.0,24,460.0000000000001,3,0.1782945736434109,stream
75,2014-04-26,276,2570.0,24,290.5555555555556,7,0.11305663640293992,stream
76,2014-04-29,276,2619.999999999999,24,407.777777777778,4,0.15564037319762525,stream
77,2014-04-30,276,2380.0000000000005,24,411.1111111111111,4,0.17273576097105506,stream
78,2014-05-01,276,2740.0000000000005,24,521.111111111111,4,0.19018653690186532,stream
79,2014-05-02,276,2520.0,24,440.0000000000001,4,0.17460317460317465,stream
80,2014-05-03,276,2130.0,24,351.66666666666674,4,0.16510172143974966,stream
81,2014-05-06,276,2420.0,24,352.22222222222223,4,0.14554637281910007,stream
82,2014-05-07,276,2499.9999999999995,24,464.4444444444446,4,0.1857777777777779,stream
83,2014-05-08,276,2630.0,24,305.55555555555554,4,0.11618081960287283,stream
84,2014-05-09,276,2670.0000000000005,24,476.6666666666666,4,0.1785268414481897,stream
85,2014-05-10,276,2700.0,24,400.00000000000006,1,0.14814814814814817,stream
86,2014-05-13,276,2730.0,24,355.0000000000001,3,0.13003663003663007,stream
87,2014-05-14,276,2660.0,24,368.88888888888886,4,0.13868003341687551,stream
88,2014-05-15,276,2510.0000000000005,24,312.2222222222221,4,0.12439132359451076,stream
89,2014-05-16,276,2269.9999999999995,24,505.55555555555566,4,0.22271169848262365,stream
90,2014-05-17,276,2569.9999999999995,24,466.11111111111137,5,0.18136619109381766,stream
91,2014-05-20,276,3140.0,24,446.6666666666667,3,0.14225053078556263,stream
92,2014-05-21,276,2840.0000000000005,24,296.6666666666666,3,0.10446009389671355,stream
93,2014-05-22,276,2629.999999999999,24,381.6666666666668,3,0.14512040557667943,stream
94,2014-05-23,276,2580.0,24,280.0,3,0.10852713178294575,stream
95,2014-05-24,276,2750.0,24,118.88888888888886,4,0.04323232323232322,stream
96,2014-05-27,276,2570.0,24,358.8888888888889,4,0.13964548205793342,stream
97,2014-05-28,276,3250.0000000000005,24,368.33333333333337,3,0.11333333333333333,stream
98,2014-05-29,276,3050.0,24,342.22222222222223,4,0.1122040072859745,stream
99,2014-05-30,276,2689.9999999999995,24,511.66666666666674,3,0.19021065675340773,stream
100,2014-05-31,276,2860.0,24,337.77777777777794,5,0.11810411810411817,stream
101,2014-06-03,276,3040.0000000000005,24,534.4444444444445,4,0.17580409356725146,stream
102,2014-06-04,276,3019.9999999999995,24,358.888888888889,4,0.11883738042678445,stream
103,2014-06-05,276,3040.0,24,445.55555555555566,5,0.14656432748538015,stream
104,2014-06-06,276,2720.0,24,515.5555555555557,4,0.18954248366013074,stream
105,2014-06-07,276,3220.0,24,256.66666666666674,3,0.07971014492753627,stream
106,2014-06-10,276,3100.0000000000005,24,483.3333333333334,3,0.15591397849462368,stream
107,2014-06-11,276,2840.0,24,478.8888888888889,4,0.16862284820031298,stream
108,2014-06-12,276,2859.9999999999995,24,404.44444444444457,4,0.1414141414141415,stream
109,2014-06-13,276,2870.0,24,412.7777777777778,5,0.14382500967866824,stream
110,2014-06-14,276,2890.0,24,537.2222222222224,5,0.18589004229142644,stream
111,2014-06-17,276,3060.0,24,480.0,4,0.1568627450980392,stream
112,2014-06-18,276,3109.9999999999995,24,518.888888888889,4,0.16684530189353347,stream
113,2014-06-19,276,3220.0,24,414.44444444444457,4,0.12870945479641135,stream
114,2014-06-20,276,2820.0,24,523.3333333333334,4,0.1855791962174941,stream
115,2014-06-21,276,3049.999999999999,24,423.88888888888914,7,0.13897996357012762,stream
116,2014-06-24,276,3160.000000000001,24,557.7777777777777,4,0.1765119549929676,stream
117,2014-06-25,276,2730.0,24,553.3333333333333,4,0.20268620268620266,stream
118,2014-06-26,276,2920.0000000000005,24,461.1111111111111,4,0.15791476407914762,stream
119,2014-06-27,276,2509.9999999999995,24,542.2222222222224,4,0.2160247897299691,stream
120,2014-06-28,276,2810.0,24,407.2222222222223,7,0.1449189402926058,stream
121,2014-07-22,276,2959.9999999999995,24,412.22222222222234,4,0.1392642642642643,stream
122,2014-07-23,276,2770.0000000000005,24,444.44444444444446,4,0.1604492579221821,stream
123,2014-07-24,276,2750.0000000000005,24,608.8888888888886,4,0.22141414141414126,stream
124,2014-07-25,276,2530.0,24,418.33333333333337,3,0.1653491436100132,stream
125,2014-07-26,276,2680.0000000000005,24,487.7777777777779,7,0.18200663349917084,stream
126,2014-07-29,276,2609.9999999999995,24,360.0000000000001,4,0.13793103448275867,stream
127,2014-07-30,276,3040.0000000000005,24,454.4444444444444,4,0.14948830409356723,stream
128,2014-07-31,276,2450.0,24,475.5555555555555,4,0.19410430839002263,stream
129,2014-08-01,276,2450.0,24,445.55555555555543,4,0.18185941043083895,stream
130,2014-08-02,276,2510.0,24,342.7777777777778,5,0.13656485170429394,stream
131,2014-08-08,276,2350.0000000000005,24,488.33333333333337,3,0.2078014184397163,stream
132,2014-08-09,276,2669.999999999999,24,361.6666666666671,5,0.13545568039950082,stream
133,2014-08-12,276,2490.0000000000005,24,376.6666666666666,4,0.15127175368139217,stream
134,2014-08-13,276,2610.0,24,480.0,4,0.1839080459770115,stream
135,2014-08-14,276,2430.0,24,480.0,4,0.19753086419753085,stream
136,2014-08-15,276,2720.0,24,335.55555555555554,4,0.12336601307189542,stream
137,2014-08-16,276,2659.9999999999995,24,311.11111111111126,5,0.11695906432748546,stream
138,2014-08-19,276,2830.000000000001,24,471.1111111111111,4,0.16647035728307807,stream
139,2014-08-20,276,2639.9999999999995,24,403.3333333333334,4,0.15277777777777785,stream
140,2014-08-21,276,2429.9999999999995,24,395.0000000000001,3,0.1625514403292182,stream
141,2014-08-22,276,2600.0000000000005,24,376.6666666666666,3,0.1448717948717948,stream
142,2014-08-23,276,2490.000000000001,24,356.6666666666665,4,0.1432396251673359,stream
143,2014-08-26,276,2480.0,24,378.88888888888897,4,0.1527777777777778,stream
144,2014-09-06,276,2480.0,24,373.33333333333337,4,0.15053763440860216,stream
145,2014-09-18,276,2479.9999999999995,24,426.66666666666663,3,0.17204301075268819,stream
146,2014-09-19,276,2340.0,24,280.00000000000006,2,0.11965811965811969,stream
147,2014-09-20,276,2549.9999999999995,24,455.0000000000003,7,0.17843137254901975,stream
